CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
CAUPOLICAN;-30;650372;5591694;4.69;6.11;1;0;1;0;0;0;0;0;0;-73.2432500000000;-39.8114444444444
CAUPOLICAN;-50;650366;5591673;4.57;6.14;0;0;0;0;0;0;0;0;0;-73.2433055555555;-39.8116388888888
CAUPOLICAN;-70;650364;5591657;6.06;6.1;5;1;2;1;0;0;1;0;0;-73.2433333333334;-39.8117777777777
CAUPOLICAN;-90;650356;5591639;4.23;6.14;1;0;0;0;1;0;0;0;0;-73.2434166666666;-39.8119444444444
CAUPOLICAN;-110;650353;5591617;3.49;7.76;1;0;1;0;0;0;0;0;0;-73.2424444444445;-39.8121388888888
CAUPOLICAN;-130;650348;5591599;4;6.63;0;0;0;0;0;0;0;0;0;-73.2435000000000;-39.8123055555555
CAUPOLICAN;-150;650341;5591581;5.04;6.9;0;0;0;0;0;0;0;0;0;-73.2435833333333;-39.8124722222222
CAUPOLICAN;-180;650338;5591550;1.99;7.36;2;2;0;0;0;0;0;0;0;-73.2436111111111;-39.8127499999999
CAUPOLICAN;-200;650330;5591531;5;7.18;0;0;0;0;0;0;0;0;0;-73.2436944444444;-39.8129166666666
CAUPOLICAN;-220;650323;5591513;5.45;6.99;1;1;0;0;0;0;0;0;0;-73.2437777777778;-39.8130833333333
CAUPOLICAN;-250;650322;5591485;3.98;7.04;3;0;2;0;1;0;0;0;0;-73.2437777777778;-39.8133333333333
CAUPOLICAN;-270;650322;5591464;5.14;6.95;1;0;0;0;1;0;0;0;0;-73.2437777777778;-39.8135277777777
CAUPOLICAN;-290;650317;5591445;3.84;6.67;0;0;0;0;0;0;0;0;0;-73.2438333333333;-39.8136944444444
CAUPOLICAN;-310;650312;5591427;5.18;6.99;4;0;0;1;1;0;1;0;1;-73.2438888888889;-39.8138611111111
CAUPOLICAN;-330;650307;5591408;5.12;6.96;0;0;0;0;0;0;0;0;0;-73.2439444444445;-39.8140277777777
CAUPOLICAN;-350;650292;5591387;5.32;6.96;1;0;1;0;0;0;0;0;0;-73.2441111111111;-39.8142222222222
CAUPOLICAN;-370;650294;5591369;4.52;7.63;5;0;0;0;2;1;2;0;0;-73.2440833333334;-39.8143888888888
CAUPOLICAN;-390;650291;5591350;2.79;4.94;1;0;0;1;0;0;0;0;0;-73.2441111111111;-39.8145555555555
CAUPOLICAN;-410;650286;5591332;5.23;6.94;0;0;0;0;0;0;0;0;0;-73.2441666666667;-39.8147222222222
CAUPOLICAN;-430;650271;5591310;4.96;6.87;2;0;0;0;1;0;1;0;0;-73.2443333333333;-39.8149166666666
CAUPOLICAN;-450;650266;5591292;3.53;7.03;1;1;0;0;0;0;0;0;0;-73.2443888888889;-39.8150833333333
CAUPOLICAN;-470;650268;5591273;3.76;7.02;1;0;0;1;0;0;0;0;0;-73.2443611111112;-39.8152500000000
MAIPU;0;650150;5591331;2.98;11.15;0;0;0;0;0;0;0;0;0;-73.2457500000000;-39.8147500000000
MAIPU;-10;650146;5591334;8.61;10.92;17;0;6;1;0;6;2;1;1;-73.2458055555556;-39.8147222222222
MAIPU;-30;650120;5591338;8.62;10.92;13;1;7;1;0;2;1;0;1;-73.2461111111111;-39.8146944444444
C. HENRIQUEZ;0;650244;5591746;4.58;6.9;9;1;1;1;1;2;1;0;2;-73.2447500000000;-39.8110000000000
C. HENRIQUEZ;10;650244;5591737;4.11;6.79;1;0;0;0;1;0;0;0;0;-73.2447500000000;-39.8110833333333
C. HENRIQUEZ;30;650241;5591718;5.12;6.99;14;1;2;0;1;3;3;1;3;-73.2447777777778;-39.8112499999999
C. HENRIQUEZ;50;650243;5591700;7.3;6.71;10;0;2;0;0;3;2;1;2;-73.2447500000000;-39.8114166666666
C. HENRIQUEZ;70;650238;5591678;4.27;5.07;1;0;1;0;0;0;0;0;0;-73.2448055555556;-39.8116111111110
C. HENRIQUEZ;90;650231;5591660;9.41;6.99;6;1;0;0;0;1;3;1;0;-73.2448888888889;-39.8117777777777
C. HENRIQUEZ;110;650230;5591638;5.03;7.75;0;0;0;0;0;0;0;0;0;-73.2448888888889;-39.8119722222222
C. HENRIQUEZ;130;650225;5591626;6.2;7.91;4;0;0;1;1;0;1;0;1;-73.2449444444444;-39.8120833333333
C. HENRIQUEZ;150;650222;5591601;6.71;8.01;6;4;1;0;0;0;0;0;1;-73.2449722222222;-39.8123055555555
C. HENRIQUEZ;180;650215;5591574;4.95;7.97;2;1;0;0;0;1;0;0;0;-73.2450555555555;-39.8125555555555
C. HENRIQUEZ;200;650209;5591555;6.91;7.94;1;1;0;0;0;0;0;0;0;-73.2451111111111;-39.8127222222222
C. HENRIQUEZ;220;650200;5591540;1.79;8.2;6;3;0;2;0;0;1;0;0;-73.2452222222222;-39.8125555555555
C. HENRIQUEZ;250;650199;5591525;6.82;9.02;7;2;1;0;0;1;2;1;0;-73.2452222222222;-39.8129999999999
C. HENRIQUEZ;270;650201;5591503;5.93;8.97;1;0;0;1;0;0;0;0;0;-73.2451944444445;-39.8131944444444
C. HENRIQUEZ;290;650189;5591488;4.74;8.96;7;0;2;2;1;1;0;0;1;-73.2453333333333;-39.8133333333333
